id,code_insee,mjo,annee_semaine
VEL008,59303.0,28.0,2014_19
VEL012,59350.0,919.0,2014_19
VEL014,59350.0,576.0,2014_19
VEL016,59355.0,211.0,2014_19
VEL017,59508.0,82.0,2014_19
VEL018,59512.0,57.0,2014_19
VEL019,59512.0,84.0,2014_19
VEL021,59560.0,103.0,2014_19
VEL022,59599.0,71.0,2014_19
VEL023,59599.0,86.0,2014_19
VEL024,59009.0,33.0,2014_19
VEL027,59636.0,45.0,2014_19
VEL028,59350.0,694.0,2014_19
VEL039,59410.0,176.0,2014_19
VEL001,59017.0,98.0,2014_20
VEL002,59090.0,93.0,2014_20
VEL003,59128.0,53.0,2014_20
VEL004,59152.0,217.0,2014_20
VEL005,59163.0,236.0,2014_20
VEL006,59256.0,68.0,2014_20
VEL007,59286.0,174.0,2014_20
VEL008,59303.0,42.0,2014_20
VEL012,59350.0,1258.0,2014_20
VEL014,59350.0,794.0,2014_20
VEL016,59355.0,281.0,2014_20
VEL017,59508.0,94.0,2014_20
VEL018,59512.0,96.0,2014_20
VEL019,59512.0,101.0,2014_20
VEL021,59560.0,125.0,2014_20
VEL022,59599.0,84.0,2014_20
VEL023,59599.0,99.0,2014_20
VEL024,59009.0,47.0,2014_20
VEL027,59636.0,62.0,2014_20
VEL028,59350.0,697.0,2014_20
VEL039,59410.0,254.0,2014_20
VEL001,59017.0,92.0,2014_21
VEL002,59090.0,91.0,2014_21
VEL003,59128.0,67.0,2014_21
VEL004,59152.0,226.0,2014_21
VEL005,59163.0,258.0,2014_21
VEL006,59256.0,66.0,2014_21
VEL007,59286.0,169.0,2014_21
VEL008,59303.0,47.0,2014_21
VEL012,59350.0,1282.0,2014_21
VEL014,59350.0,819.0,2014_21
VEL016,59355.0,295.0,2014_21
VEL017,59508.0,120.0,2014_21
VEL018,59512.0,107.0,2014_21
VEL019,59512.0,109.0,2014_21
VEL021,59560.0,132.0,2014_21
VEL022,59599.0,100.0,2014_21
VEL023,59599.0,123.0,2014_21
VEL024,59009.0,47.0,2014_21
VEL027,59636.0,57.0,2014_21
VEL028,59350.0,697.0,2014_21
VEL039,59410.0,255.0,2014_21
VEL001,59017.0,86.0,2014_22
VEL002,59090.0,102.0,2014_22
VEL003,59128.0,47.0,2014_22
VEL004,59152.0,190.0,2014_22
VEL005,59163.0,187.0,2014_22
VEL006,59256.0,59.0,2014_22
VEL007,59286.0,147.0,2014_22
VEL008,59303.0,28.0,2014_22
VEL012,59350.0,1043.0,2014_22
VEL014,59350.0,629.0,2014_22
